週識別子,バッチ,投稿番号,媒体,投稿日,投稿時刻,曜日,ステップ,本文ファイルURL,素材フォルダURL,予約ツールURL,特記事項
2026-W18,金曜,1,Flodesk,2026/5/1,,金,メール配信予約,,,https://app.flodesk.com/,クライアント向けメール配信予約（〜5/31配信分）。Chatworkの「アプリ」でWorkflow名・セグメント名を確認してから予約
2026-W18,火曜,1,Flodesk,2026/5/1,8:00 JST,金,Day 1,https://drive.google.com/file/d/1_vBUo3D0E-C0hyw95rBPLHsi0Qtgv_QQ/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W18,火曜,2,Flodesk,2026/5/2,8:00 JST,土,Day 2,https://drive.google.com/file/d/1csTjWvRGzwkfSnZOOqEh1CsX3hXie4x6/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり
2026-W18,火曜,3,Flodesk,2026/5/3,8:00 JST,日,Day 3,https://drive.google.com/file/d/1zgxYpmedeFr-GAGSkyhPFPPjzT6DVXJS/view?usp=drivesdk,,https://app.flodesk.com/,
2026-W18,火曜,4,Flodesk,2026/5/4,8:00 JST,月,Day 4,https://drive.google.com/file/d/1udDc48ca_-IY6-Tv_0S0Qd027vZ0Qztv/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
2026-W18,火曜,5,Flodesk,2026/5/5,8:00 JST,火,Day 5,https://drive.google.com/file/d/1jNFiqF2D92KMXUL05Rxsgee_awL77bhL/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
2026-W18,火曜,6,Flodesk,2026/5/6,8:00 JST,水,Day 6,https://drive.google.com/file/d/1dzfHga6vSYxftPaS6uhAURkM-OzEQ8W3/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
2026-W18,火曜,7,Flodesk,2026/5/7,8:00 JST,木,Day 7,https://drive.google.com/file/d/1uXr-2UZVicNlwltxlz5-mtE7SQnqrudw/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
2026-W18,火曜,8,Flodesk,2026/5/8,8:00 JST,金,Day 8,https://drive.google.com/file/d/1W0gMh6OEJVreXpwbB1myNqIZwhvJzCNA/view?usp=drivesdk,,https://app.flodesk.com/,📚資料リンクあり
2026-W18,火曜,9,Flodesk,2026/5/9,8:00 JST,土,Day 9,https://drive.google.com/file/d/1ba1rB7V0iwg_6KvGviQu2LOGseJixhiu/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
2026-W18,火曜,10,Flodesk,2026/5/10,8:00 JST,日,Day 10,https://drive.google.com/file/d/181L2TEd4rtzDyvipRFVXSKClgqnAZ_hv/view?usp=drivesdk,,https://app.flodesk.com/,📚資料リンクあり
2026-W18,火曜,11,Flodesk,2026/5/11,8:00 JST,月,Day 11,https://drive.google.com/file/d/1dLj2d_v-hqlqQidhFnOFzLl3SqxFgxCz/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり／📚資料リンクあり
